"","M","trait","beta_EM","se_EM","p_EM","beta_MO","se_MO","p_MO"
"1","ebi-a-GCST90001391","IgD+ B cell %B cell",-0.0209235823911132,0.027825214020481,0.452072207975836,0.000975335439025353,0.0339141320895684,0.977056826136512
"2","ebi-a-GCST90001392","IgD+ CD38+ B cell Absolute Count",-0.0038064128250514,0.0270769060900658,0.888203459772602,-0.0431105974473603,0.040376808793579,0.285652743891409
"3","ebi-a-GCST90001393","IgD+ CD38dim B cell %B cell",-0.0113657598022398,0.0262816682307966,0.665407406874794,0.095909323022054,0.0635054854422915,0.130978987512846
"4","ebi-a-GCST90001394","IgD+ CD38dim B cell Absolute Count",-0.0134247423675838,0.0286529793633269,0.639406572037004,0.0367285997000891,0.0329831960947244,0.265470182688416
"5","ebi-a-GCST90001395","IgD+ CD38- B cell %B cell",0.00729765819211477,0.0261086566651394,0.779852654633599,0.00713963169186173,0.0767500853770343,0.925884166005991
"6","ebi-a-GCST90001396","IgD+ CD38- B cell Absolute Count",-0.010049501047118,0.0265566473776125,0.705120443726275,0.0821624623453201,0.111654749577151,0.461814821259009
"7","ebi-a-GCST90001397","Unswitched memory B cell %B cell",0.00659531268210489,0.0295382801707662,0.823317447533543,-0.0460083469125606,0.0308789921316319,0.136235743267535
"8","ebi-a-GCST90001398","Unswitched memory B cell Absolute Count",-0.00988823834618811,0.0271921387556238,0.716124408433782,0.00706912646804122,0.0509162999114813,0.889578021998824
"9","ebi-a-GCST90001399","IgD- CD27- B cell %B cell",0.00283261652752261,0.0277709693874004,0.918757313888245,0.0527252605761881,0.0568037595810814,0.353303734628824
"10","ebi-a-GCST90001400","IgD+ B cell Absolute Count",-0.0228687887395268,0.0280185471997425,0.414384725844434,-0.0157312740187696,0.030232187858946,0.602820688267481
"11","ebi-a-GCST90001401","IgD- CD27- B cell Absolute Count",-0.0187475748350505,0.026569890246755,0.480440195473375,0.00305741597646858,0.0546297311786652,0.955368769664882
"12","ebi-a-GCST90001402","Switched memory B cell %B cell",0.0311587990187378,0.0287909393445534,0.279144466722085,-0.0267818098267139,0.0444894686142059,0.547186859289991
"13","ebi-a-GCST90001403","Switched memory B cell Absolute Count",0.010735816270257,0.0263495769795,0.683686396697447,-0.0163593294759282,0.0501423679772575,0.74422945217263
"14","ebi-a-GCST90001404","Plasma Blast-Plasma Cell %B cell",-0.00935954182063602,0.02863727772418,0.743795930380316,-0.0336086537811301,0.0345663680690577,0.330904574011299
"15","ebi-a-GCST90001405","Plasma Blast-Plasma Cell Absolute Count",-0.0203682569767071,0.0262815692438038,0.438338741971971,-0.0285934838621497,0.0261512520545656,0.274223166516412
"16","ebi-a-GCST90001406","Memory B cell %B cell",0.0107446634136699,0.0309441478707149,0.728420307961314,-0.0140008823947519,0.0372667957116326,0.707144980625361
"17","ebi-a-GCST90001407","Memory B cell Absolute Count",-0.0102766705315036,0.0265779053752708,0.699006326802112,0.0213970991030405,0.0355495808855299,0.547244330149155
"18","ebi-a-GCST90001408","Naive-mature B cell %B cell",-0.00143877309292388,0.0321886218017092,0.964347877424372,0.0232262009886295,0.0370415651230502,0.530639067585562
"19","ebi-a-GCST90001409","Naive-mature B cell Absolute Count",-0.0204190632712631,0.0286230133007263,0.475611120189474,-0.0873692250887271,0.0635270349592418,0.169036047156726
"20","ebi-a-GCST90001410","IgD- CD38+ B cell %B cell",0.000294105211490533,0.0271825772743537,0.991367359070072,0.0468735563611325,0.0545897597181506,0.390533045429648
