#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATG7	UBE2B	9606.ENSP00000346437	9606.ENSP00000265339	0.043	0	0	0	0.042	0.196	0.500	0.186	0.645
ATG7	UBE2N	9606.ENSP00000346437	9606.ENSP00000316176	0.043	0	0	0	0.054	0.196	0.500	0.145	0.632
ATG7	UBE2G2	9606.ENSP00000346437	9606.ENSP00000338348	0	0	0	0	0.060	0.180	0.500	0.191	0.646
ATG7	UBE2V1	9606.ENSP00000346437	9606.ENSP00000340305	0	0	0	0	0.067	0	0.500	0.146	0.567
ATG7	UFM1	9606.ENSP00000346437	9606.ENSP00000368970	0	0	0	0	0.065	0.113	0	0.369	0.432
ATG7	UBE2L3	9606.ENSP00000346437	9606.ENSP00000400906	0.043	0	0	0	0.044	0.196	0.500	0.133	0.623
ISG15	OTUB2	9606.ENSP00000496832	9606.ENSP00000203664	0	0	0	0	0.055	0.266	0	0.231	0.420
ISG15	UBE2N	9606.ENSP00000496832	9606.ENSP00000316176	0	0	0	0	0.055	0.585	0.700	0.377	0.917
ISG15	USP21	9606.ENSP00000496832	9606.ENSP00000356981	0	0	0	0	0.055	0.355	0	0.175	0.453
ISG15	UFM1	9606.ENSP00000496832	9606.ENSP00000368970	0	0	0	0	0.044	0	0	0.609	0.611
ISG15	USP25	9606.ENSP00000496832	9606.ENSP00000383044	0	0	0	0	0.060	0.258	0	0.240	0.424
ISG15	UBE2L3	9606.ENSP00000496832	9606.ENSP00000400906	0	0	0	0	0.055	0.189	0	0.328	0.440
OTUB2	USP25	9606.ENSP00000203664	9606.ENSP00000383044	0	0	0	0	0	0	0	0.497	0.497
OTUB2	USP21	9606.ENSP00000203664	9606.ENSP00000356981	0	0	0	0	0	0.294	0	0.369	0.536
OTUB2	USP8	9606.ENSP00000203664	9606.ENSP00000379721	0	0	0	0	0	0.046	0	0.704	0.706
OTUB2	UBE2N	9606.ENSP00000203664	9606.ENSP00000316176	0	0	0	0	0	0.635	0	0.533	0.822
UBE2B	UBE2L3	9606.ENSP00000265339	9606.ENSP00000400906	0	0	0	0.811	0.109	0.479	0.400	0.158	0.734
UBE2B	UBE2N	9606.ENSP00000265339	9606.ENSP00000316176	0	0	0	0.899	0.157	0.136	0.900	0.146	0.929
UBE2B	UBE2V1	9606.ENSP00000265339	9606.ENSP00000340305	0	0	0	0	0.093	0.422	0.900	0.656	0.979
UBE2G2	UBE2L3	9606.ENSP00000338348	9606.ENSP00000400906	0	0	0	0.784	0.060	0.094	0.400	0.175	0.522
UBE2G2	UBE2V1	9606.ENSP00000338348	9606.ENSP00000340305	0	0	0	0	0.120	0	0	0.496	0.538
UBE2G2	UBL4A	9606.ENSP00000338348	9606.ENSP00000358674	0	0	0	0	0.054	0.354	0	0.364	0.578
UBE2L3	UBE2V1	9606.ENSP00000400906	9606.ENSP00000340305	0	0	0	0	0.134	0.284	0	0.715	0.808
UBE2N	USP8	9606.ENSP00000316176	9606.ENSP00000379721	0	0	0	0	0.050	0	0	0.544	0.548
UBE2N	UBE2V1	9606.ENSP00000316176	9606.ENSP00000340305	0	0	0	0	0.081	0.993	0.900	0.999	0.999
USP21	USP8	9606.ENSP00000356981	9606.ENSP00000379721	0	0	0	0.735	0	0.292	0	0.238	0.437
USP21	USP25	9606.ENSP00000356981	9606.ENSP00000383044	0	0	0	0	0.106	0.103	0	0.448	0.519
USP25	USP8	9606.ENSP00000383044	9606.ENSP00000379721	0	0	0	0	0.185	0.103	0	0.682	0.747
